date,username,tweet,tweet_tokens,tweet_tokens_fdist,tweet_tokens_WSW,final_tweet,sentiment
2022-10-24 14:37:10+00:00,ada_pohan,lha yg maruk blt kelian orang koq,"['lha', 'yg', 'maruk', 'blt', 'kelian', 'orang', 'koq']",<FreqDist with 7 samples and 7 outcomes>,"['lha', 'maruk', 'blt', 'kelian', 'orang']",lha maruk blt kelian orang,0.0
2022-10-24 14:33:36+00:00,PRDepok,cara daftar blt bbm online lewat hp di aplikasi cek bansos agar bisa cairkan bantuan rp,"['cara', 'daftar', 'blt', 'bbm', 'online', 'lewat', 'hp', 'di', 'aplikasi', 'cek', 'bansos', 'agar', 'bisa', 'cairkan', 'bantuan', 'rp']",<FreqDist with 16 samples and 16 outcomes>,"['daftar', 'blt', 'bbm', 'online', 'hp', 'aplikasi', 'cek', 'bansos', 'cairkan', 'bantuan', 'rp']",daftar blt bbm online hp aplikasi cek bansos cairkan bantuan rp,0.0
2022-10-24 14:33:36+00:00,pikiran_rakyat,cara daftar blt bbm online lewat hp di aplikasi cek bansos agar bisa cairkan bantuan rp,"['cara', 'daftar', 'blt', 'bbm', 'online', 'lewat', 'hp', 'di', 'aplikasi', 'cek', 'bansos', 'agar', 'bisa', 'cairkan', 'bantuan', 'rp']",<FreqDist with 16 samples and 16 outcomes>,"['daftar', 'blt', 'bbm', 'online', 'hp', 'aplikasi', 'cek', 'bansos', 'cairkan', 'bantuan', 'rp']",daftar blt bbm online hp aplikasi cek bansos cairkan bantuan rp,0.0
2022-10-24 14:28:44+00:00,antony_xenruang,kembali terbukti para kadrun itu punya tabiat dan karakter pecundang senang merekayasa segala sesuatu,"['kembali', 'terbukti', 'para', 'kadrun', 'itu', 'punya', 'tabiat', 'dan', 'karakter', 'pecundang', 'senang', 'merekayasa', 'segala', 'sesuatu']",<FreqDist with 14 samples and 14 outcomes>,"['terbukti', 'kadrun', 'tabiat', 'karakter', 'pecundang', 'senang', 'merekayasa']",terbukti kadrun tabiat karakter pecundang senang merekayasa,-1.0
2022-10-24 14:24:45+00:00,suaramerdeka,siapsiap blt bbm bakal cair lagi di november lihat nama penerima mu di sini,"['siapsiap', 'blt', 'bbm', 'bakal', 'cair', 'lagi', 'di', 'november', 'lihat', 'nama', 'penerima', 'mu', 'di', 'sini']",<FreqDist with 13 samples and 14 outcomes>,"['siapsiap', 'blt', 'bbm', 'cair', 'november', 'lihat', 'nama', 'penerima', 'mu']",siapsiap blt bbm cair november lihat nama penerima mu,1.0
2022-10-24 14:18:12+00:00,suaramerdeka,jadwal pencairan bsu tahap beserta cara cek dan syarat pencairan penerima blt rp,"['jadwal', 'pencairan', 'bsu', 'tahap', 'beserta', 'cara', 'cek', 'dan', 'syarat', 'pencairan', 'penerima', 'blt', 'rp']",<FreqDist with 12 samples and 13 outcomes>,"['jadwal', 'pencairan', 'bsu', 'tahap', 'beserta', 'cek', 'syarat', 'pencairan', 'penerima', 'blt', 'rp']",jadwal pencairan bsu tahap beserta cek syarat pencairan penerima blt rp,1.0
2022-10-24 14:17:32+00:00,suaramerdeka,kapan pencairan bsu tahap begini cara cek penerima blt rp lewat akses,"['kapan', 'pencairan', 'bsu', 'tahap', 'begini', 'cara', 'cek', 'penerima', 'blt', 'rp', 'lewat', 'akses']",<FreqDist with 12 samples and 12 outcomes>,"['pencairan', 'bsu', 'tahap', 'cek', 'penerima', 'blt', 'rp', 'akses']",pencairan bsu tahap cek penerima blt rp akses,1.0
2022-10-24 14:16:15+00:00,Migrivata,makanya baca berita yang bener drun sudah banyak progam blt yang pro rakyat miskin,"['makanya', 'baca', 'berita', 'yang', 'bener', 'drun', 'sudah', 'banyak', 'progam', 'blt', 'yang', 'pro', 'rakyat', 'miskin']",<FreqDist with 13 samples and 14 outcomes>,"['baca', 'berita', 'bener', 'drun', 'progam', 'blt', 'pro', 'rakyat', 'miskin']",baca berita bener drun progam blt pro rakyat miskin,0.0
2022-10-24 14:04:52+00:00,arifmuchlis2,pak ibu saya ga dapat blt padahal masuk daftarnya gmn ini pak,"['pak', 'ibu', 'saya', 'ga', 'dapat', 'blt', 'padahal', 'masuk', 'daftarnya', 'gmn', 'ini', 'pak']",<FreqDist with 11 samples and 12 outcomes>,"['blt', 'masuk', 'daftarnya', 'gmn']",blt masuk daftarnya gmn,0.0
2022-10-24 14:01:02+00:00,indo80037242,blt tepat sasaran,"['blt', 'tepat', 'sasaran']",<FreqDist with 3 samples and 3 outcomes>,"['blt', 'sasaran']",blt sasaran,1.0
