date,username,tweet
2022-10-24 14:37:10+00:00,ada_pohan,@SaropudinAde @Dennysiregar7 Lha yg maruk BLT kelian orang koq 🤣🤣🤣 https://t.co/w144ksm2DN
2022-10-24 14:33:36+00:00,PRDepok,Cara Daftar BLT BBM 2022 Online Lewat HP di Aplikasi Cek Bansos agar Bisa Cairkan Bantuan Rp600.000 https://t.co/70TF5r1GFs
2022-10-24 14:33:36+00:00,pikiran_rakyat,Cara Daftar BLT BBM 2022 Online Lewat HP di Aplikasi Cek Bansos agar Bisa Cairkan Bantuan Rp600.000… https://t.co/qM6cbVvm5J
2022-10-24 14:28:44+00:00,antony_xenruang,"@NegeriKolam Kembali terbukti para kadrun itu punya tabiat dan karakter pecundang, senang merekayasa segala sesuatu… https://t.co/IzlxicPuvz"
2022-10-24 14:24:45+00:00,suaramerdeka,Siap-siap BLT BBM Bakal Cair Lagi di November 2022: Lihat Nama Penerima Mu di Sini https://t.co/oBgI39dp1K
2022-10-24 14:18:12+00:00,suaramerdeka,"Jadwal Pencairan BSU Tahap 7, Beserta Cara Cek dan Syarat Pencairan Penerima BLT Rp600.000 https://t.co/9T7BcFzRhS"
2022-10-24 14:17:32+00:00,suaramerdeka,Kapan Pencairan BSU Tahap 7? Begini Cara Cek Penerima BLT Rp600.000 Lewat Akses https://t.co/NaAjbLLZJL https://t.co/HizdjaeyAh
2022-10-24 14:16:15+00:00,Migrivata,@KontolKuat69 @Sallahudin756 @jokowi Makanya baca berita yang bener drun sudah banyak progam blt yang pro rakyat miskin
2022-10-24 14:04:52+00:00,arifmuchlis2,"@ganjarpranowo Pak. Ibu saya ga dapat blt, padahal masuk daftarnya. Gmn ini pak"
2022-10-24 14:01:02+00:00,indo80037242,@dikareza6 BLT tepat sasaran
2022-10-24 14:00:34+00:00,d_onenews_com,"Dicerot Penerima BLT BBM, Warga Dawuhan Wetan Gruduk Kantor Balai Desa https://t.co/LPFd2zcaQY"
2022-10-24 13:59:18+00:00,Anaksemut4,"@def0745 @Ard4nnA @FiersaBesari Terima Kasih @SBYudhoyono . 
Program BLT atau BLSM  pemerintahan anda sangat memban… https://t.co/Cuh8RzxNhj"
2022-10-24 13:56:13+00:00,alex_hunter146,"@wiena_kinasih @pn7l7h Kenapa Para Kadrun Yang Lebih Banyak Menikmati Bantuan Sosial Seperti BLT, BPUM dll  Dari Pe… https://t.co/AJmcpVTBcI"
2022-10-24 13:56:11+00:00,DartieDartie1,"@natali_karan nat dirimi cuma sekelas kesetnya jokowi loe kere kronis, jokowi lebih pintar dn lebih kaya dr loe  el… https://t.co/eD4fKdNOF5"
2022-10-24 13:51:46+00:00,intelcore1608,"@AREAJULID Dia belum dapat BLT, atau PKH"
2022-10-24 13:47:17+00:00,Lela55546705,"@omsalesh BLT sangat membantu masyarakat
#BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat… https://t.co/b5HHYSitBh"
2022-10-24 13:44:05+00:00,Liukiuaquose44,"@omsalesh BLT harus tepat sasaran ke rakyat
#BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat… https://t.co/SgkGbReWwK"
2022-10-24 13:37:36+00:00,jawapos,Ribuan Pengemudi di Surabaya Dapat BLT BBM dari Pemkot https://t.co/w3IL9IAlgw
2022-10-24 13:35:37+00:00,JeeCo9,@FiersaBesari Sesekali mainlah kepelosok yang banyak orang tidak kaya raya seperti anda. Lihatlah antrian BLT dan k… https://t.co/TllotCGy1p
2022-10-24 13:35:04+00:00,KonstPirs,KPM Bengkulu Sudah merasakan manfaat BLT BBM #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat… https://t.co/9jAvTXeweI
2022-10-24 13:32:36+00:00,SitiSusan6,"Bansos untuk menjaga daya beli masyarakat 

Jambi dukung BLT BBM tepat sasaran 

#BLTBBMBantuMasyarakat… https://t.co/Lyj5PH0OTq"
2022-10-24 13:32:29+00:00,SitiSusan6,"Pembagian BLT BBM dan BSU harus mudah, cepat dan tepat sasaran

Jambi dukung BLT BBM tepat sasaran… https://t.co/WKFRgOCfc6"
2022-10-24 13:32:19+00:00,SitiSusan6,"Ayo bijak manfaatkan BLT BBM 

Jambi dukung BLT BBM tepat sasaran 

#BLTBBMBantuMasyarakat… https://t.co/E3u4EGC8xN"
2022-10-24 13:32:09+00:00,SitiSusan6,"BLT BBM dongkrak daya beli masyarakat 

Jambi dukung BLT BBM tepat sasaran 

#BLTBBMBantuMasyarakat… https://t.co/rJSF9a5Uan"
2022-10-24 13:31:46+00:00,SitiSusan6,"Pemerintah terus berupaya untuk memberikan perlindungan terbaik kepada masyarakat 

Jambi dukung BLT BBM tepat sasa… https://t.co/XHipOdfSro"
2022-10-24 13:31:34+00:00,SitiSusan6,"Pentingnya ekosistem pendataan perlindungan sosial yang terintegrasi

Jambi dukung BLT BBM tepat sasaran… https://t.co/kYmncNeUwB"
2022-10-24 13:31:16+00:00,SitiSusan6,"Pemerintah terus berupaya untuk memberikan perlindungan terbaik kepada masyarakat 

Jambi dukung BLT BBM tepat sasa… https://t.co/OC2Ao6OwYF"
2022-10-24 13:30:46+00:00,dikareza6,"BLT BBM cegah ancaman Inflasi
#BLTTepatSasaran #BBM #PenyesuaianBBM #BLTBBMBantuMasyarakat #Subsidisubstitusi… https://t.co/JNeMLhTp8Y"
2022-10-24 13:30:28+00:00,dikareza6,"BLT BBM cegah ancaman Inflasi
#BLTTepatSasaran #BBM #PenyesuaianBBM #BLTBBMBantuMasyarakat #Subsidisubstitusi… https://t.co/9stRN991Gv"
2022-10-24 13:30:20+00:00,dikareza6,"BLT BBM cegah ancaman Inflasi
#BLTTepatSasaran #BBM #PenyesuaianBBM #BLTBBMBantuMasyarakat #Subsidisubstitusi… https://t.co/SxCDCVXMZf"
2022-10-24 13:30:07+00:00,dikareza6,"BLT BBM cegah ancaman Inflasi
#BLTTepatSasaran #BBM #PenyesuaianBBM #BLTBBMBantuMasyarakat #Subsidisubstitusi… https://t.co/NoFiEg1tz2"
