sentiment,final_tweet,sentiment_norm
0.0,lha maruk blt kelian orang,0
0.0,daftar blt bbm online hp aplikasi cek bansos cair bantu rp,0
0.0,daftar blt bbm online hp aplikasi cek bansos cair bantu rp,0
14.28571429,bukti kadrun tabiat karakter cundang senang rekayasa,1
11.11111111,siapsiap blt bbm cair november lihat nama terima mu,1
9.090909091,jadwal cair bsu tahap serta cek syarat cair terima blt rp,1
12.5,cair bsu tahap cek terima blt rp akses,1
0.0,baca berita bener drun progam blt pro rakyat miskin,0
0.0,blt masuk daftar gmn,0
0.0,blt sasar,0
10.0,dicerot terima blt bbm warga dawuhan wetan gruduk kantor balaidesa,1
28.57142857,terima kasih program blt blsm perintah ban,1
22.22222222,kinasih kadrun nikmat bantu sosial blt bpum dll pe,1
6.25,karan nat rim kelas keset jokowi loe kere kronis jokowi pintar dn kaya dr loe el,1
0.0,blt pkh,0
0.0,blt bantu masyarakat,0
0.0,blt sasar rakyat,0
0.0,ribu kemudi surabaya blt bbm pemkot,0
12.5,main pelosok orang kaya raya lihat antri blt,1
16.66666667,kpm bengkulu rasa manfaat blt bbm,1
10.0,bansos jaga daya beli masyarakat jambi dukung blt bbm sasar,1
25.0,bagi blt bbm bsu mudah cepat sasar jambi dukung blt bbm sasar,1
30.0,ayo bijak manfaat blt bbm jambi dukung blt bbm sasar,1
9.090909091,blt bbm dongkrak daya beli masyarakat jambi dukung blt bbm sasar,1
30.0,perintah upaya lindung baik masyarakat jambi dukung blt bbm sasa,1
30.0,ekosistem data lindung sosial integrasi jambi dukung blt bbm sasar,1
30.0,perintah upaya lindung baik masyarakat jambi dukung blt bbm sasa,1
-20.0,blt bbm cegah ancam inflasi,-1
-20.0,blt bbm cegah ancam inflasi,-1
-20.0,blt bbm cegah ancam inflasi,-1
-20.0,blt bbm cegah ancam inflasi,-1
0.0,lha maruk blt kelian orang,0
0.0,blt,0
15.38461538,cek terima bsu tahap cair kantor pos login link cair blt subsidi gaji,1
0.0,puluh warga desa dawuhan wetan lumajang protes anulir terima blt bbm verifikasi,0
-33.33333333,blt bom turun,-1
0.0,nyiar blt,0
-14.28571429,bohong menteri profesional ngutang blt copras capres,-1
0.0,realisasi blt bbm pemkot gelontor pengemudiangkot,0
0.0,langkah perintah blt bsu,0
0.0,id dumdum junjung lu blt,0
0.0,jatim jokowi rajin blusukan duit blt nyampe pd bener susah,0
0.0,apresiasi salur blt bbm tahap ii,0
0.0,bpum cair cek nama dapat blt umkm rp,0
0.0,bpum cair cek nama dapat blt umkm rp,0
-16.66666667,id dumdum negara wajib layan layan,-1
14.28571429,robin dasar nunafik klau udah iri dengk,1
0.0,naaaah bukti pasti rakyat tekan naik pahlaw,0
0.0,blt bantu,0
0.0,blt bantu,0
0.0,blt bantu,0
0.0,blt bantu,0
0.0,blt bantu,0
0.0,blt bantu,0
0.0,blt bantu,0
0.0,blt bantu,0
0.0,blt bantu,0
0.0,blt bantu,0
0.0,blt bantu,0
0.0,blt bantu,0
0.0,blt bantu,0
0.0,blt bantu,0
0.0,blt bantu,0
0.0,blt bantu,0
0.0,blt bantu,0
0.0,blt bantu,0
0.0,blt bantu,0
0.0,blt bantu,0
20.0,salur bansos blt dampak positif,1
0.0,beri blt perintah dampak thdp putar roda ekonomi,0
0.0,beri blt perintah dampak thdp putar roda ekonomi,0
0.0,apresiasi salur blt bbm tahap ii,0
0.0,beri blt perintah dampak thdp putar roda ekonomi,0
0.0,cuman sodorka bojonegoro blora dpt harga meter negara ri adany,0
0.0,beri blt perintah dampak thdp putar roda ekonomi,0
0.0,beri blt perintah dampak thdp putar roda ekonomi,0
0.0,pemkot surabaya gerojok blt bbm rp kemudi,0
0.0,beri blt perintah dampak thdp putar roda ekonomi,0
0.0,cair rp ribu peroang bulan,0
0.0,beri blt perintah dampak thdp putar roda ekonomi,0
0.0,beri blt perintah dampak thdp putar roda ekonomi,0
0.0,beri blt perintah dampak thdp putar roda ekonomi,0
25.0,blt bbm bantal sosial,1
0.0,prayoga beri blt perintah dampak thdp putar roda ekonomi,0
0.0,beri blt perintah dampak thdp putar roda ekonomi,0
0.0,beri blt perintah dampak thdp putar roda ekonomi,0
0.0,beri blt perintah dampak thdp putar roda ekonomi,0
0.0,beri blt perintah dampak thdp putar roda ekonomi,0
0.0,beri blt perintah dampak thdp putar roda ekonomi,0
0.0,salur blt bbm persen dki jakarta,0
0.0,masyarakat apresiasi blt rakyat dki jakarta,0
0.0,alhamdulillah blt cair dki jakarta,0
22.22222222,dukung program perintah cepat salur blt wilayah dki jakarta,1
-7.142857143,tangan dampak inflasi pemkot surabaya gelontor rp miliar blt bbm kemudi perintah kota pemkot,-1
12.5,mantap blt cair moga manfaat warga dki jakarta,1
11.11111111,mari dukung kawal salur blt wilayah dki jakarta sasar,1
12.5,asyik blt cair abangmpok ojol oktober dki jakarta,1
0.0,masyarakat apresiasi blt rakyat wilayah dki jakarta sasar,0
16.66666667,dukung bagi blt sasar dki jakarta,1
0.0,beri blt perintah dampak thdp putar roda ekonomi,0
16.66666667,bagi blt mudah sasar dki jakarta,1
0.0,beri blt perintah dampak thdp putar roda ekonomi,0
6.666666667,babinsa karangmojo serma suprapto giat riah benih padi sumber dana blt dd apem desa karangmojo,1
11.11111111,masyarakat kategori blt balita cek nama terima dapat rp,1
11.11111111,masyarakat kategori blt balita cek nama terima dapat rp,1
0.0,beri blt perintah dampak thdp putar roda ekonomi,0
0.0,moriya rena cover majalah blt graph vol rilis tanggal oktober,0
40.0,ayo bijak manfaat blt bbm,1
40.0,manfaat guna blt bbm bijak,1
0.0,blt bbm dongkrak daya beli masyarakat,0
0.0,beri blt perintah dampak thdp putar roda ekonomi,0
0.0,beri blt perintah dampak thdp putar roda ekonomi,0
0.0,beri blt perintah dampak thdp putar roda ekonomi,0
0.0,beri blt perintah dampak thdp putar roda ekonomi,0
0.0,beri blt perintah dampak thdp putar roda ekonomi,0
0.0,beri blt perintah dampak thdp putar roda ekonomi,0
0.0,beri blt perintah dampak thdp putar roda ekonomi,0
0.0,beri blt perintah dampak thdp putar roda ekonomi,0
0.0,beri blt perintah dampak thdp putar roda ekonomi,0
14.28571429,kemudi transportasi halut terima blt bbm halmahera,1
-18.75,kurang dampak inflasi pemkot kota surabaya serah bantu langsung tunai bahan bakar minyak blt bbm kep,-1
0.0,beri blt perintah dampak thdp putar roda ekonomi,0
11.11111111,top blt subsidi bbm bukti ampuh kendali laju inflasi,1
0.0,gsp mending elo sono antri blt nge bacot,0
0.0,gsp elo buzzerrp mending antri blt sono,0
14.28571429,cek terima blt bbm tahap cair login,1
14.28571429,cek terima blt bbm tahap cair login,1
-11.11111111,pemkot surabaya bagi blt bbm kemudi angkut tekan inflasi,-1
9.090909091,bsu tahap cair simak info jadwal cair blt subsidi gaji rp,1
9.090909091,bsu tahap cair simak info jadwal cair blt subsidi gaji rp,1
-22.22222222,presiden joko widodo tingkat inflasi ri golong rendah kendali,-1
0.0,remember blt,0
0.0,mau blt,0
0.0,blt bbm jaga daya beli masyarakat,0
11.11111111,bantal sosial blt subsidi bbm bukti laju inflasi kendali,1
16.66666667,bagi blt mudah sasar dki jakarta,1
16.66666667,dukung kawal salur blt dki jakarta,1
16.66666667,blt bbm sanagat manfaat dki jakarta,1
0.0,salur blt bbm persen dki jakarta,0
0.0,masyarakat apresiasi blt rakyat dki jakarta,0
0.0,masyarakat apresiasi blt rakyat dki jakarta,0
0.0,hore blt cair dki jakarta,0
28.57142857,dukung perintah cepat salur blt dki jakarta,1
14.28571429,mantap blt cair moga manfaat dki jakarta,1
16.66666667,blt bbm sanagat manfaat dki jakarta,1
0.0,salur blt bbm persen dki jakarta,0
16.66666667,dukung kawal salur blt dki jakarta,1
14.28571429,asyik blt cair ojol oktober dki jakarta,1
0.0,masyarakat apresiasi blt rakyat dki jakarta,0
16.66666667,bagi blt mudah sasar dki jakarta,1
20.0,dukung blt sasar dki jakarta,1
0.0,blt bantu ekonomi masyarakat dki jakarta indonesia,0
0.0,salur blt bbm persen dki jakarta,0
