sentiment,final_tweet
0,lha maruk blt kelian orang
1,daftar blt bbm online hp aplikasi cek bansos cairkan bantuan rp
1,daftar blt bbm online hp aplikasi cek bansos cairkan bantuan rp
0,terbukti kadrun tabiat karakter pecundang senang merekayasa
1,siapsiap blt bbm cair november lihat nama penerima mu
1,jadwal pencairan bsu tahap beserta cek syarat pencairan penerima blt rp
1,pencairan bsu tahap cek penerima blt rp akses
0,baca berita bener drun progam blt pro rakyat miskin
0,blt masuk daftarnya gmn
0,blt sasaran
1,dicerot penerima blt bbm warga dawuhan wetan gruduk kantor balaidesa
1,terima kasih program blt blsm pemerintahan memban
1,kinasih kadrun menikmati bantuan sosial blt bpum dll pe
1,karan nat dirimi sekelas kesetnya jokowi loe kere kronis jokowi pintar dn kaya dr loe el
0,blt pkh
1,blt membantu masyarakat
0,blt sasaran rakyat
0,ribuan pengemudi surabaya blt bbm pemkot
1,mainlah kepelosok orang kaya raya lihatlah antrian blt
1,kpm bengkulu merasakan manfaat blt bbm
1,bansos menjaga daya beli masyarakat jambi dukung blt bbm sasaran
1,pembagian blt bbm bsu mudah cepat sasaran jambi dukung blt bbm sasaran
1,ayo bijak manfaatkan blt bbm jambi dukung blt bbm sasaran
1,blt bbm dongkrak daya beli masyarakat jambi dukung blt bbm sasaran
1,pemerintah berupaya perlindungan terbaik masyarakat jambi dukung blt bbm sasa
1,ekosistem pendataan perlindungan sosial terintegrasi jambi dukung blt bbm sasaran
1,pemerintah berupaya perlindungan terbaik masyarakat jambi dukung blt bbm sasa
-1,blt bbm cegah ancaman inflasi
-1,blt bbm cegah ancaman inflasi
-1,blt bbm cegah ancaman inflasi
-1,blt bbm cegah ancaman inflasi
0,lha maruk blt kelian orang
0,blt
1,cek penerima bsu tahap cair kantor pos login link cairkan blt subsidi gaji
0,puluhan warga desa dawuhan wetan lumajang protes dianulir penerima blt bbm verifikasi
0,blt belom turun
0,nyiar blt
-1,kebohongan menteri profesional ngutang blt copras capres
0,realisasikan blt bbm pemkot gelontorkan pengemudiangkot
0,langkah pemerintah blt bsu
0,id dumdum junjungan lu blt
0,jatim jokowi rajin blusukan duit blt nyampe pd bener susah
0,mengapresiasi penyaluran blt bbm tahap ii
0,bpum cair cek namamu dapatkan blt umkm rp
0,bpum cair cek namamu dapatkan blt umkm rp
0,id dumdum negara berkewajiban melayani melayani
1,robin dasar nunafik klau udah iri dengk
-1,naaaah kebukti pastinya rakyat tertekan kenaikan pahlaw
1,blt membantu
1,blt membantu
1,blt membantu
1,blt membantu
1,blt membantu
1,blt membantu
1,blt membantu
1,blt membantu
1,blt membantu
1,blt membantu
1,blt membantu
1,blt membantu
1,blt membantu
1,blt membantu
1,blt membantu
1,blt membantu
1,blt membantu
1,blt membantu
1,blt membantu
1,blt membantu
1,penyaluran bansos blt dampak positif
0,pemberian blt pemerintah berdampak thdp perputaran roda perekonomian
0,pemberian blt pemerintah berdampak thdp perputaran roda perekonomian
0,mengapresiasi penyaluran blt bbm tahap ii
0,pemberian blt pemerintah berdampak thdp perputaran roda perekonomian
1,cuman sodorka bojonegoro blora dpt penghargaan meteri negara ri adany
0,pemberian blt pemerintah berdampak thdp perputaran roda perekonomian
0,pemberian blt pemerintah berdampak thdp perputaran roda perekonomian
0,pemkot surabaya gerojok blt bbm rp pengemudi
0,pemberian blt pemerintah berdampak thdp perputaran roda perekonomian
0,cair rp ribu peroang perbulan
0,pemberian blt pemerintah berdampak thdp perputaran roda perekonomian
0,pemberian blt pemerintah berdampak thdp perputaran roda perekonomian
0,pemberian blt pemerintah berdampak thdp perputaran roda perekonomian
1,blt bbm bantalan sosial
0,prayoga pemberian blt pemerintah berdampak thdp perputaran roda perekonomian
0,pemberian blt pemerintah berdampak thdp perputaran roda perekonomian
0,pemberian blt pemerintah berdampak thdp perputaran roda perekonomian
0,pemberian blt pemerintah berdampak thdp perputaran roda perekonomian
0,pemberian blt pemerintah berdampak thdp perputaran roda perekonomian
0,pemberian blt pemerintah berdampak thdp perputaran roda perekonomian
0,penyaluran blt bbm persen dki jakarta
0,masyarakat apresiasi blt rakyat dki jakarta
0,alhamdulillah blt cair dki jakarta
1,mendukung program pemerintah percepat penyaluran blt wilayah dki jakarta
-1,tangani dampak inflasi pemkot surabaya gelontorkan rp miliar blt bbm pengemudi pemerintah kota pemkot
1,mantap blt cair semoga bermanfaat warga dki jakarta
1,mari dukung kawal penyaluran blt wilayah dki jakarta sasaran
1,asyik blt cair abangmpok ojol oktober dki jakarta
0,masyarakat mengapresiasi blt rakyat wilayah dki jakarta sasaran
0,mendukung pembagian blt sasaran dki jakarta
0,pemberian blt pemerintah berdampak thdp perputaran roda perekonomian
0,pembagian blt mudah sasaran dki jakarta
0,pemberian blt pemerintah berdampak thdp perputaran roda perekonomian
1,babinsa karangmojo serma suprapto giat pemberiah benih padi sumber dana blt dd apem desa karangmojo
1,masyarakat kategori blt balita cek nama penerima dapatkan rp
1,masyarakat kategori blt balita cek nama penerima dapatkan rp
0,pemberian blt pemerintah berdampak thdp perputaran roda perekonomian
0,moriya rena cover majalah blt graph vol rilis tanggal oktober
1,ayo bijak manfaatkan blt bbm
1,manfaatkan penggunaan blt bbm bijak
0,blt bbm dongkrak daya beli masyarakat
0,pemberian blt pemerintah berdampak thdp perputaran roda perekonomian
0,pemberian blt pemerintah berdampak thdp perputaran roda perekonomian
0,pemberian blt pemerintah berdampak thdp perputaran roda perekonomian
0,pemberian blt pemerintah berdampak thdp perputaran roda perekonomian
0,pemberian blt pemerintah berdampak thdp perputaran roda perekonomian
0,pemberian blt pemerintah berdampak thdp perputaran roda perekonomian
0,pemberian blt pemerintah berdampak thdp perputaran roda perekonomian
0,pemberian blt pemerintah berdampak thdp perputaran roda perekonomian
0,pemberian blt pemerintah berdampak thdp perputaran roda perekonomian
1,pengemudi transportasi halut terima blt bbm halmahera
-1,mengurangi dampak inflasi pemkot kota surabaya menyerahkan bantuan langsung tunai bahan bakar minyak blt bbm kep
0,pemberian blt pemerintah berdampak thdp perputaran roda perekonomian
1,top blt subsidi bbm terbukti ampuh mengendalikan laju inflasi
0,gsp mending elo sono antri blt nge bacot
0,gsp elo buzzerrp mending antri blt sono
1,cek penerima blt bbm tahap cair login
1,cek penerima blt bbm tahap cair login
-1,pemkot surabaya bagikan blt bbm pengemudi angkutan tekan inflasi
1,bsu tahap cair simak info jadwal pencairan blt subsidi gaji rp
1,bsu tahap cair simak info jadwal pencairan blt subsidi gaji rp
-1,presiden joko widodo tingkat inflasi ri tergolong rendah terkendali
0,remember blt
0,maunya blt
0,blt bbm jaga daya beli masyarakat
1,bantalan sosial blt subsidi bbm membuktikan laju inflasi terkendali
0,pembagian blt mudah sasaran dki jakarta
1,dukung kawal penyaluran blt dki jakarta
1,blt bbm sanagat bermanfaat dki jakarta
0,penyaluran blt bbm persen dki jakarta
0,masyarakat apresiasi blt rakyat dki jakarta
0,masyarakat apresiasi blt rakyat dki jakarta
0,hore blt cair dki jakarta
1,dukung pemerintah percepat penyaluran blt dki jakarta
1,mantap blt cair semoga bermanfaat dki jakarta
1,blt bbm sanagat bermanfaat dki jakarta
0,penyaluran blt bbm persen dki jakarta
1,dukung kawal penyaluran blt dki jakarta
1,asyik blt cair ojol oktober dki jakarta
0,masyarakat apresiasi blt rakyat dki jakarta
0,pembagian blt mudah sasaran dki jakarta
1,dukung blt sasaran dki jakarta
1,blt membantu perekonomian masyarakat dki jakarta indonesia
0,penyaluran blt bbm persen dki jakarta
1,dukung kawal penyaluran blt dki jakarta
0,masyarakat apresiasi blt pemerintah dki jakarta
0,pembagian blt mudah sasaran dki jakarta
1,dukung blt sasaran dki jakarta
0,prayoga blt subsidi bbm terbukti menjaga inflasi terjaga
1,naiknya harga bbm bersubsidi akibat penyesuaian harga pasca pengalihan anggaran subsidi diwujudkan da
0,bali tbn tl jatim pct mgtn bjn grk sb sda lmj bwi mla tla trg blt mlg jateng yk kndl smg kltn wngr sumsel lmp ntb
0,blt subsidi bbm ampuh kendalikan inflasi
0,gapapa lahh beli pertamina kek vivo kek kebijakan pemerintah mengalihkan subsidi bb
1,ayo manfaatkan penggunaan blt bbm bijak
0,diperhatikan penerimaan blt bbm jambi
0,mari bijak manfaatkan blt bbm suara bali
0,blt bbm dongkrak daya beli masyarakat jambi
0,pohan uang blt
1,pergunakan blt bijak
0,masyarakat terbantu blt
1,bijak manfaatkan blt bbm jambi
1,blt membantu masyarakat
1,pembagian blt bbm bsu mudah cepat sasaran jambi
0,penyaluran blt sasaran
1,blt bermanfaat masyarakat
0,alihsubsidi bbm sektor produktif blt bsu suara bali
1,mari bijak manfaatkan blt
0,presiden joko widodo arahan mengendalikan inflasi subsidi kenaikan tarif tra
1,pemerintah wujudkan alokasi subsidi sasaran menyalurkan blt bbm
1,pemerintah wujudkan alokasi subsidi sasaran menyalurkan blt bbm
1,pemerintah wujudkan alokasi subsidi sasaran menyalurkan blt bbm
1,pemerintah berupaya terbaik melindungi masyarakat daerah istimewa yogyakarta blt bbm
1,pemerintah wujudkan alokasi subsidi sasaran menyalurkan blt bbm
1,pemerintah wujudkan alokasi subsidi sasaran menyalurkan blt bbm
-1,heuhwuhwuhwu silahkan ambil blt mu dpn kantor pos bsk sampe ketinggalan
1,bansos menjaga masyarakat daerah istimewa yogyakarta blt bbm yogyakarta
1,blt bbm dongkrak daya beli masyarakat daerah istimewa yogyakarta blt bbm yogyakarta
1,masyarakat bijak memanfaatkan bltbbm daerah istimewa yogyakarta blt bbm yogyakarta
1,ayo bijak manfaatkan bltbbm daerah istimewa yogyakarta blt bbm yogyakarta
1,dukung penuh penyaluran blt bbm
0,tercatat ribu pengemudi surabaya jatah blt bbm total senilai rp miliar
1,bantuan langsung tunai blt bbm menjaga daya beli masyarakat antasipasi dampak
0,pemerintah upayakan blt sasaran
1,pembagian blt bbm bsu mudah cepat sasaran
1,lugo mengambil contoh pandemic blt subsidi upah
0,ojolnya nerima blt bbm beli yakkk wekekekek
-1,tanjung menteri status nkri eh ditangkap kpk ambil jatah blt rakyat miskin
1,sekretaris kota administrasi jakarta timur fredy setiawan memimpin rapat koordinasi terkait memaksimalkan penyalu
0,radikalisme nyata doktor terkait harga harga rakyat cerdas dampak krisis global berte
0,masyarakat jawa timur bersyukur penyaluran blt bbm jawa timur berjalan
1,terima kasih warga jawa timur senang blt bbm diber
1,subsidi jawa timur berjalan sasaran berkat blt
1,masyarakat jawa timur apresiasi dukung komitmen pemerintah pastikan dana blt mantap
1,ayoo gaess masyarakat lampung dukung kebijakan pemerintah perihal blt bbm
1,masyarakat lampung mendukung penuh kebijakan pemerintah blt bbm
0,lampung apresiasi kebijakan pemerintah blt bbm
1,masyarakat lampung mendukung kebijakan blt bbm
1,terimakasih jokowi blt bbm membantu masyarakat jawa timur berterima ka
1,penyeluran blt bbm memudahkan masyarakat membutuhkan masyarakat lampung mendukung blt
1,ayoo gaess masyarakat lampung dukung kebijakan pemerintah perihal blt bbm
0,mantap program blt dirasakan masyarakat jawa timur
1,masyarakat lampung mendukung penuh kebijakan pemerintah blt bbm
0,lampung apresiasi kebijakan pemerintah blt bbm
1,masyarakat lampung mendukung kebijakan blt bbm
1,masyarakat jawa timur apresiasi dukung komitmen pemerintah pastikan dana blt mantap tep
1,penyeluran blt bbm memudahkan masyarakat membutuhkan masyarakat lampung mendukung blt
1,ayoo gaess masyarakat lampung dukung kebijakan pemerintah perihal blt bbm
1,masyarakat lampung mendukung penuh kebijakan pemerintah blt bbm
-1,blt terbukti menahan inflasi menjaga daya beli kelompok rentan
0,lampung apresiasi kebijakan pemerintah blt bbm
