sentiment,final_tweet,sentiment_norm
14.28571429,bukti kadrun tabiat karakter cundang senang rekayasa,1
16.66666667,kpm bengkulu rasa manfaat blt bbm,1
-33.33333333,blt bom turun,-1
-20.0,blt bbm cegah ancam inflasi,-1
30.0,ekosistem data lindung sosial integrasi jambi dukung blt bbm sasar,1
-18.75,kurang dampak inflasi pemkot kota surabaya serah bantu langsung tunai bahan bakar minyak blt bbm kep,-1
30.0,perintah upaya lindung baik masyarakat jambi dukung blt bbm sasa,1
25.0,bagi blt bbm bsu mudah cepat sasar jambi dukung blt bbm sasar,1
30.0,perintah upaya lindung baik masyarakat jambi dukung blt bbm sasa,1
-22.22222222,blt bukti tahan inflasi jaga daya beli kelompok rentan,-1
-14.28571429,bohong menteri profesional ngutang blt copras capres,-1
-9.090909091,heuhwuhwuhwu silah ambil blt mu dpn kantor pos bsk sampe tinggal,-1
15.38461538,cek terima bsu tahap cair kantor pos login link cair blt subsidi gaji,1
-11.11111111,pemkot surabaya bagi blt bbm kemudi angkut tekan inflasi,-1
10.0,bansos jaga daya beli masyarakat jambi dukung blt bbm sasar,1
6.25,karan nat rim kelas keset jokowi loe kere kronis jokowi pintar dn kaya dr loe el,1
9.090909091,blt bbm dongkrak daya beli masyarakat jambi dukung blt bbm sasar,1
28.57142857,terima kasih program blt blsm perintah ban,1
12.5,main pelosok orang kaya raya lihat antri blt,1
-20.0,blt bbm cegah ancam inflasi,-1
